Part,Value,Device,Package,Description,,
BAT1,,BATTERY9V,BATTCON_9V,Battery Holders,,
C1,,CAP_POL1206,EIA3216,Capacitor Polarized,2.2uf,
C2,,CAP1206,1206,Capacitor,22pf,
C3,,CAP_POL1206,EIA3216,Capacitor Polarized,2.2uf,299-3690-1-nd
C6,,CAP1206,1206,Capacitor,22pf,399-11987-1-nd
D2,,DIODESMA,SMA-DIODE,Diode,,s1afsct-nd
,,,,,,
JP1,,M04PTH,1X04,Header 4,,
JP2,,M04PTH,1X04,Header 4,,
JP3,,M04PTH,1X04,Header 4,,
LED1,,LED1206,LED-1206,LEDs,,
R1,,RESISTOR1206,1206,Resistor,180,
R2,,RESISTOR1206,1206,Resistor,1k,
R3,,RESISTOR1206,1206,Resistor,1k,need to be pulldown
R5,,RESISTOR1206,1206,Resistor,10k,
RV1,,POT,ALPS_POT,,,
U$1,SWITCH-SPST-2TV,SWITCH-SPST-2TV,SWITCH-SPST-VERTICAL,,,
U$2,SWITCH-SPST-2TV,SWITCH-SPST-2TV,SWITCH-SPST-VERTICAL,,,
U1,JOYSTICKPTH,JOYSTICKPTH,JOYSTICK,Thumb Joystick,,
U2,LCD-16X2NOSILK,LCD-16X2NOSILK,LCD-16X2_NOSILK,Standard text-only 16x2 parallel input LCD,,
U3,ATMEGA328P_PDIP,ATMEGA328P_PDIP,DIL28-3,uC used in the Arduino,,
U4,V_REG_LDOSMD,V_REG_LDOSMD,SOT23-5,Voltage Regulator LDO,5V,
U5,V_REG_LDOSMD,V_REG_LDOSMD,SOT23-5,Voltage Regulator LDO,3.3V,
Y1,,CRYSTALSMD,HC49UP,Various standard crystals. Proven footprints.,,
